年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H30,計画,1,,建築士法に規定されている建築士の職責等に関する記述のA～Dに該当する語句の組合せとして、正しいものは、次のうちどれか。建築士法第2条の2において、「建築士は、常に品位を保持し、業務に関する法令及び実務に精通して、建築物の質の向上に寄与するように、公正かつ誠実にその業務を行わなければならない。」とされている。また、同法第21条の4において、「建築士は、建築士の信用又は品位を害するような行為をしてはならない。」とされ、同法第22条第1項においては、「建築士は、設計及び工事監理に必要な知識及び技能の維持向上に努めなければならない。」とされている。,国民の生命、健康及び財産の保護 - 公共の福祉の増進 - 建築 - 知識及び技能,国民の生命、健康及び財産の保護 - 建築士の信用又は品位 - 建築 - 專門的応用能力,建築物の質の向上 - 建築士の信用又は品位 - 行為 - 知識及び技能,建築物の質の向上 - 公共の福祉の増進 - 行為 - 専門的応用能力,3
H30,計画,2,,日本における伝統的な木造建築物の屋根に関する次の記述のうち、最も不適当なものはどれか。,組物は斗と肘木との組合せをいい、肘木が壁から外に二段に出ている組物は舟肘木と呼ばれている。,瓦葺きは、仏教の伝来とともに伝わり、各地で様々な試行が行われ、江戸時代において桟瓦葺きが考案されている。,垂木は、一般に、唐様(禅宗様)では放射状に配置され、和様では平行に配置されている。,精木は、梃子の原理を利用して、長く突き出ている軒先を支えるために、軒裏から小屋組内に取り付けられる材をいう。,1
H30,計画,3,,住宅に関する次の記述のうち、最も不適当なものはどれか。,マルセイユのユニテ・ダビタシオンは、ル・コルビュジエによって設計されたピロティのある高層の集合住宅であり、建築物内には住戸に加えて、店舗、ホテル、屋上庭園等の機能がある。,ヴァイセンホーフ・ジードルングは、ミース・ファン・デル・ローエが全体計画を行った実験住宅展で建築された住宅団地であり、「インターナショナル・スタイル」の成立に影響を与えたものである。,ムードンの住宅は、ジャン・プルーヴェによって設計されたものであり、アルミニウム等の材料が用いられている。,フランクリン街のアパートは、ルイス・サリヴァンによって設計された集合住宅であり、構造を鉄筋コンクリート造とした初期の集合住宅とされている。,4
H30,計画,4,,日本におけるスポーツ施設の計画に関する次の記述のうち、最も不適当なものはどれか。,屋外の野球場は、一般に、太陽光線の直射の影響を最小限とするため、本塁から投手板を経て二塁に向かう線を、東北東の方位に計画することが望ましい。,屋外のサッカー競技場は、一般に、冬期の風向きによる競技への影響を最小限とするため、競技のフィールドの長軸を、東西の方向に計画することが望ましい。,陸上競技場の観客席の勾配は、サイトライン(可視線)に配慮しつつ、観客が「競技者との一体感」や「競技の臨場感」を得られるように計画することが望ましい。,屋内の競技施設(アリーナ)は、施設の規模、想定される競技や大会のレベル等に応じて、自然採光・自然通風に配慮しつつ、空調設備・照明設備を設けることが望ましい。,2
H30,計画,5,図あり,事務所ビルにおけるコアの型とその一般的な特徴について、次の組合せのうち、最も不適当なものはどれか。なお、コアの型に示す図は平面略図であり、斜線部はコアを示す。,センターコア - 面積効率がよく、大きな床面積の場合に適しているが、二方向避難の計画が難しい,両端コア - 二方向避難の計画はしやすいが、フロアを分割する場合には廊下が必要となるため面積効率が低下する,片コア (偏心コア) - 共用部の管理がしやすく、高層建築物に適しているが、二方向避難の計画が難しい。,外コア (分離コア) - 整形な執務空間を確保することができるが、執務空間とコアとの接続部でエキスパンションジョイントを設ける等の検討が必要である,3
H30,計画,6,,公共施設における床の材料又は仕上げに関する次の記述のうち、最も不適当なものはどれか。,床の滑りの指標のうち、JISにおける高分子系張り床材試験方法に定める滑り性試験により測定される滑り抵抗係数(C.S.R)は、埃や水等の介在物によって変化する。,階段の計画に当たり、階段の滑りには踏面だけでなく段鼻の滑りも大きく影響することから、滑りにくい段鼻材を採用することが望ましい。,床材は、同一の床において滑り抵抗係数を変化させると高齢者のつまずきの防止が期待できることから、滑り抵抗係数に大きな差がある材料を複合使用することが望ましい。,建築物の出入口に設ける視覚障害者誘導用ブロック等は、金属製のものを使用する場合、雨滴によりスリップしやすいため、ノンスリップの加工があるものを採用する等の配慮をすることが望ましい。,3
H30,計画,7,,建築物等の各部の寸法に関する次の記述のうち、最も不適当なものはどれか。,排気量 250ccクラスのオートバイの駐車場の計画において、平行駐車の1台当たりの駐車区画の寸法を、幅60cm、長さ230cmとした。,庁舎の車椅子使用者用受付カウンターの計画において、天板の高さを床面から70cmとし、下部に車椅子のフットレストが入るスペースを設けた。,多人数の成人が利用する男性用便所の計画において、隣り合うストール型小便器の中心間距離を、90cmとした。,事務所ビルの計画において、10席程度の会議室の内法寸法を、3.6m×7.2mとした。,1
H30,計画,8,,造形に対する人間の知覚に関する次の記述のうち、最も不適当なものはどれか。,黄金比は、その比率がもつ安定感から造形美を得るために古くから採用され、人体各部の寸法の比率がこれに近似するといわれている。,ゲシュタルト心理学の基礎概念においては、形や存在が認められる部分を「地」、その背景となる部分を「図」という。,線遠近法がつくりだす立体感の効果を建築物に応用することにより、奥行感を強めたり弱めたりすることができる。,建築物の立面が大きなスケールになると、軒線等の水平線がその中央部で垂れたように見えたり、柱等の垂直線が傾いて見えたりする現象が生じる。,2
H30,計画,9,,宿泊施設における車椅子使用者用客室に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,客室の総数を250室と計画したので、車椅子使用者用客室を3室設けた。,客室の出入口の前後に、140cm角の水平な床のスペースを設けた。,客室内の浴室の出入口の有効幅員を、85cmとした。,ベッドの高さはマットレス上面で車椅子の座面と同程度とし、ベッドサイドキャビネットの高さはマットレス上面から10cm程度高くした。,1
H30,計画,10,,都市再生の事例に関する次の記述のうち、最も不適当なものはどれか。,小布施町(長野県)においては、明治時代に建築された黒漆喰仕上げの建築物を保存・改装し、この建築物を核とした街並み 「黒壁スクエア」を中心にして観光振興によるまちづくりを行っている。,富山市(富山県)においては、持続可能なコンパクトシティの実現を目指し、LRT (Light Rail Transit)を導入することで、公共交通の活性化、公共交通沿線地区への居住促進、中心市街地の活性化等を図っている。,横浜市(神奈川県)においては、「クリエイティブシティ・ヨコハマ」の実現を目指し、?史的建造物や鉄道高架下等を活用した文化芸術活動を支援するための拠点づくりを行っている。,環状第二号線新橋・虎ノ門地区(東京都)においては、道路の上空及び路面下において建築物等の整備を一体的に行うことができる「立体道路制度」を活用し、この地域における居住機能や文化・交流機能の導入、業務機能の質の高度化等を図っている。,1
