年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和2年,計画,1,,建築士の職責、業務等に関する次の記述のうち、最も不適当なものはどれか。,建築士は、新たにつくる建築物について、長期間の使用に耐えるように建築計画の初期段階から十分に検討を行い、完成した後も継続的に適正な維持管理が行われるように配慮する必要がある。,建築士は、他人の求めに応じ報酬を得て、建築物に関する調査及び鑑定のみを業として行う場合、建築士事務所に所属せずに業務を行うことができる。,建築士は、違反建築物の建築等の法令違反行為について、指示をする、相談に応じる等の行為をしてはならない。,建築士は、設計者ではなく施工者として建築基準関係規定に違反する工事を行った場合であっても、建築士法により業務停止処分を受けることがある。,2
令和2年,計画,2,,日本の歴史的な建築物に関する次の記述のうち、最も不適当なものはどれか。,東三条殿(平安時代)などの寝殿造りは、柱は丸柱とし、寝殿の周囲には蔀戸を吊り、床は板敷きであったといわれている。,鹿苑寺金閣(室町時代)は、最上層を禅宗様仏堂風、中間層を和様仏堂風、初層を住宅風とした三層の建築物である。,光浄院客殿(安土桃山時代)は、欄間や長押をはじめ、建具や金具、釘隠や引手などに技巧を凝らし、様々な意匠が施された数寄屋風の建築物である。,旧開智学校校舎(明治時代)は、アーチや隅石等の洋風の意匠と唐破風等の和風の意匠が混在した擬洋風の建築物である。,3
令和2年,計画,3,,西洋の歴史的な建築物とその背景との組合せとして、最も不適当なものは、次のうちどれか。,大英博物館(イギリス、1824-47年)／考古学の成果に基づく古代ギリシアや古代ローマ建築の研究及び正確な理解を通じ、その造形原理の復興を試みた新古典主義を背景としている。,タッセル邸(ベルギー、1893年)／植物の茎や葉、長い髪などの自然物をモチーフとした非対称な曲線や曲面を造形に用いたアール・ヌーヴォーを背景としている。,ウィーン郵便貯金局(オーストリア、1906年)／機械生産による低品質な製品を否定し、工業化社会における芸術性を中世的な手工芸に求めたアーツ・アンド・クラフツ運動を背景としている。,シュレーダー邸(オランダ、1924年)／対象を幾何学によって客観的かつ普遍的に表現するために、要素を水平・垂直の線や面で構成し、三原色と無彩色を使用するデ・ステイルを背景としている。,3
令和2年,計画,4,,高齢者、障害者等に配慮した屋内競技場の計画に関する次の記述のうち、最も不適当なものはどれか。,幅150cmの屋内廊下に面して設けた障害者等が利用する居室の出入口は、有効幅員を90cmとした。,オストメイト用設備を有する便房において、汚物流しの近くに着替え台を設けた。,車椅子使用者用の観覧席は、複数の車椅子使用者が利用できる専用スペースとして、異なる場所に分散して2箇所設けた。,屋内階段において、高齢者が段差の存在を知覚できるように、踏面と段鼻との輝度比を1.0とした。,4
令和2年,計画,5,,建築物の外壁に関する次の記述のうち、最も不適当なものはどれか。,外壁に設置する排気口や給気口の防水が難しいので、ダクトを外壁に向かって下がり勾配とし、浸入した雨水を排出できるようにした。,カーテンウォール等の外壁について、部材間の接合部から雨水が浸入することを防ぐため、内外の空気圧を等圧にすることにより重力で排水するフィルドジョイントとした。,地震時の躯体の層間変位を考慮して、上部又は下部のファスナーをスライドさせて追従させるパネル方式のメタルカーテンウォールを採用した。,外装にカーテンウォールを使用するに当たり、シーリング材の耐久年数は、外壁の耐久年数よりも短いことが多いので、雨水が浸入した場合の排水機構を設けた。,2
令和2年,計画,6,,建築物の防災計画に関する次の記述のうち、最も不適当なものはどれか。,災害時に防災拠点となる庁舎において、仮設修復足場としての利用やガラス落下防止等のために、建築物外周にバルコニーを設ける計画とした。,浸水深さを5mと想定した沿岸型の災害拠点建築物において、1・2階の外壁の大部分をガラスカーテンウォールとして津波被災時には破壊・脱落させ、4階以上の重要な拠点部分の機能を守る計画とした。,高層の集合住宅に設ける備蓄倉庫は、避難階のほかに、100住戸ごとに、かつ、いずれの階からも4層以内の位置に計画した。,災害時の避難場所の仮設トイレは、全てマンホールトイレとし、避難者200人当たり1基を目安とする計画とした。,4
令和2年,計画,7,,30階建ての事務所ビルの計画に関する次の記述のうち、最も不適当なものはどれか。,基準階の平面計画において、南北面にコアを配置して窓を減らすことで、熱負荷の影響を軽減した。,防災計画上の避難経路は、日常動線に配慮し、第1次安全区画である廊下から第2次安全区画である特別避難階段の付室を通じて、特別避難階段に避難できるように計画した。,エレベーターの運行方式は、建築物を10層ごとに三つのゾーンに分割して各ゾーンにエレベーター群を割り当てるコンベンショナルゾーニング方式とした。,非常用エレベーターは荷物用エレベーターと兼用することとし、その乗降ロビーは特別避難階段の付室と兼用する計画とした。,"1, 4"
令和2年,計画,8,,建築物等の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,公共体育館の計画において、成人用バスケットボールコートを二面配置するため、床面の内法寸法を、40m×50mとした。,屋内の公式試合用の硬式テニスコートについて、ネット上部の天井高を、13mとした。,競技場の観客席の固定座席の計画において、座席の幅(1人分の間口)を45cmとし、前後間隔(椅子の背の間隔)を85cmとした。,屋内駐車場の計画において、一方通行の小型自動車の車路のうち、車路に接して駐車料金の徴収施設が設けられている場所で、歩行者の通行の用に供しない部分の幅員を、2.5mとした。,4
令和2年,計画,9,図あり,図は、高齢者、障害者等の利用に配慮した階段の計画案の模式図である。「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものは、次のうちどれか。,手すりは、階段の上端で水平に延長する部分Aを30cmとして、踊場にも連続させて設置した。,手すりを上下に2本設置するに当たり、下段の手すりの高さBを段鼻から60cmとした。,点状ブロックCを、階段手前30cmの位置に敷設した。,階段の有効幅員Dは、手すりの幅10cmはないものとみなし、140cmとした。,1
令和2年,計画,10,,交通手段を考慮した都市計画に関する次の記述のうち、最も不適当なものはどれか。,セミモールは、都市部や商業地などで歩行者空間を充実させたモールにおいて、一般車両の乗り入れを禁止し、路面電車やバスを通行させるものである。,キスアンドライドは、出発地から公共交通機関の乗降所(駅やバス停等)まで家族等が自動車で送迎する交通形態のことである。,BRTは、バス専用道路などを活用して高い定時性を確保し、連節車両を用いることや停車時間短縮の工夫を取り入れること等により、高い輸送能力を確保するバス交通システムである。,フリンジパーキングは、都市中心部の周辺に駐車場を整備し、そこから公共交通機関等により都市中心部までアクセスするシステムであり、都市中心部への車の流入の抑制等を目的とするものである。,1
