年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和6年,計画,1,,建築士の行う、設計業務等に関する次の記述のうち、最も不適当なものはどれか。,建築士は、違反建築物の建築等の法令違反行為について、指示をする、相談に応じる等の行為をしてはならない。,建築士は、設計者ではなく施工者として建築基準関係規定に違反する工事を行った場合であっても、建築士法により業務停止処分を受けることがある。,一級建築士、二級建築士及び木造建築士は、国土交通大臣の免許を受け、設計、工事監理その他の業務を行う者で、常に品位を保持し、建築物の質の向上に寄与するように、公正かつ誠実にその業務を行わなければならない。,建築関連5団体によって制定された「地球環境・建築憲章」(2000年)では、持続可能な循環型社会の実現に向けての21世紀の目標として、「長寿命」、「自然共生」、「省エネルギー」、「省資源・循環」、「継承」に取り組むことを宣言している。,1
令和6年,計画,2,,日本の歴史的な建築物(所在地)に関する次の記述のうち、最も不適当なものはどれか。,豊平館(北海道)は、木造総2階建てで、中央入口の上部に架かる半円形に張り出したバルコニーをコリント式の柱で支える、明治時代に建てられた洋風の建築物である。,臨春閣(大正期に移築、現・神奈川県)は、3棟からなり、現在の第三屋においては、1階に雅楽の楽器を用いた欄間、2階に縁を配した小部屋が設けられている、江戸時代に建てられた数寄屋風書院造りの建築物である。,本願寺飛雲閣(京都府)は、敷地内の池に面して建つ3層の楼閣建築であり、左右対称を避けるように3層を中央からずらして配置し、屋根や唐破風を複雑に配した、平安時代に建てられた寝殿造りの建築物である。,三徳山三仏寺投入堂(鳥取県)は、修験道の道場として山中に営まれた寺院の奥院で、岩山の崖のくぼみにあり、長短の様々な柱を巧みに用いた、平安時代に建てられた懸造りの建築物である。,3
令和6年,計画,3,,西洋の歴史的な建築物(所在地)に関する次の記述のうち、最も不適当なものはどれか。,サン・マルコ大聖堂(イタリア)は、ギリシア十字形の集中式の平面に、中央交差部及び十字の各腕(ベイ)の上部にドームをもつ、ビザンツ様式の建築物である。,シュパイヤー大聖堂(ドイツ)は、内陣の前に袖廊(トランセプト)を配したラテン十字形の三廊式バシリカの平面に、西面の中央と両端、身廊・側廊と袖廊との交差部、内陣の両側に塔をもつ、ロマネスク様式の建築物である。,パリのノートルダム大聖堂(フランス)は、二重周歩廊をめぐらした内陣と階上廊を有する側廊が設けられた五廊式バシリカの平面に、バラ窓や双塔を西面にもつ、ゴシック様式の建築物である。,ウェストミンスター宮殿(イギリス)は、広大かつ整然とした幾何学的庭園をもち、宮殿内は「鏡の間」に代表される豪華な室内装飾が随所に施された、バロック様式の建築物である。,3
令和6年,計画,4,,人間の行動や心理の特性に配慮した計画に関する次の記述のうち、最も不適当なものはどれか。,認知症高齢者グループホームにおいて、「環境移行」によるADLの低下や心理的混乱を避けるため、1ユニットの定員を9人とし、小規模で家庭的な環境となるようにした。,総合病院において、患者や見舞い客等が病室に設置された備品・什器を混乱なく、色や形状等で直感的に分かりやすく使えるよう、ウェイファインディング・デザインを採用した。,住宅地において、防犯性を高めるため、オスカー・ニューマンによる「まもりやすい空間」の理論に基づき、パブリックからプライベートまでの段階的な空間構成を採用した。,商業施設において、ソシオフーガルな関係での利用ができるよう、互いの視線が合わずに座れるベンチを休憩スペースに設置した。,4
令和6年,計画,5,,断熱計画、気密計画等に関する次の記述のうち、最も不適当なものはどれか。,木造の一戸建て住宅の外壁において、繊維系断熱材の屋外側に透湿防水シートを設けたうえで胴縁等を用いて通気層を確保することは、壁体内に侵入した湿気が屋外に排出され、壁体内の結露を防止する効果がある。,木造の一戸建て住宅において、基礎断熱工法を採用する場合、外周部の土台と基礎天端の間にねこ土台を設け、床下の通気性を確保する必要がある。,建築物の改修において、既存の窓に内窓を設置し、その内窓の気密性を高めることは、既存の窓の室内側の表面結露を防止する効果がある。,気候風土適応住宅は、地域の気候及び風土に応じた住宅であることにより、外皮基準に適合させることが困難であるものとして国土交通大臣が定める基準に適合するものである。,2
令和6年,計画,6,,建築物の長期利用に関する次の記述のうち、最も不適当なものはどれか。,一戸建て住宅において、敷設したさや管の内部に樹脂製の配管を通すさや管ヘッダー工法を用い、ヘッダーを設置した洗面室の床下から集中的に点検や更新が行える計画とした。,事務所ビルにおいて、大規模災害時の事業継続や早期復旧を目的としたBCP(事業継続計画)の策定に当たり、サテライトオフィスを設置して事業拠点を分散する計画とした。,高層集合住宅において、各階で更新ができるように、排水管の接合方法が工夫された特殊継手排水システムを採用したので、排水管及びパイプシャフトは専有部から点検する計画とした。,建築物の耐震改修に当たり、確認済証が交付されていたが検査済証の交付を受けていなかったので、建築当時の建築基準法等への適合状況を調査するため、確認済証に添付された図書等を用いて図上調査・現地調査を実施した。,2
令和6年,計画,7,,木質系材料に関する次の記述のうち、最も不適当なものはどれか。,構造用集成材は、ひき板をその繊維方向が互いに直交となるように積層接着したものであり、大断面や湾曲材等の形状とすることで大スパンでの使用も可能である。,構造用合板は、単板をその繊維方向が互いに直交となるように積層接着したものであり、JASにおいて特類のものは、屋外又は常時湿潤状態となる環境下での使用も可能である。,OSB (Oriented Strand Board)は、木材のストランド(切削片)を配向した層が互いに直交となるように積層接着したものであり、耐力壁にも使用されている。,MDF (Medium Density Fiberboard)は、主に木材等の植物繊維を成形した繊維板であり、下地材、家具材料のほか、構造用の面材にも使用されている。,3
令和6年,計画,8,,建築物の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,保育所の計画において、乳児を対象とした定員10人のほふく室の有効面積を、40m?とした。,図書館の計画において、子どもや車椅子使用者に配慮して、貸出用のカウンターについては、上端高さを700mm、下端高さを650mmとした。,体育館の計画において、バレーボールの公式試合(日本バレーボール協会主催の競技会)が行えるようにするため、天井の高さを、10.5mとした。,病院の療養病床の病棟計画において、患者が使用する廊下の有効幅員は、片側居室となる部分を2.0m、両側居室となる部分を3.0mとした。,1
令和6年,計画,9,,高齢者、障害者、子ども連れ利用者等に配慮した建築物の計画に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,商業施設のベビー休憩室(授乳及びおむつ替えのための部屋)において、幼児の立位姿勢でのおむつ交換と排泄前後の着脱衣を安全にできるよう、乳幼児用おむつ交換台とは別に着替え台を設けた。,ビジネスホテルの客室において、客室内の浴室の出入口に至る経路を直角路としたので、浴室の出入口付近の通路の有効幅員を、800mmとした。,市庁舎の主たる階段において、杖使用者等が円滑に上下移動できるよう、両側に段鼻から高さ650mmと 850mmの二段の手すりを設けた。,特別養護老人ホームのサイン計画において、特に白内障の人に表示内容が分かりやすくなるよう、黒い表示板に白色の文字を用いた。,3
令和6年,計画,10,,各種の法令に基づく協定における、土地所有者等の合意に関する次の記述のうち、最も不適当なものはどれか。,景観法に基づく景観協定は、景観計画区域内の一団の土地の区域における良好な景観の形成に関する事項について、原則として、土地所有者等の全員の合意により結ばれる。,都市再生特別措置法に基づく都市利便増進協定は、まちのにぎわいや交流の創出に寄与する施設を、イベント等を実施しながら一体的に整備又は管理していくことを目的としたもので、区域内の土地所有者等の相当部分の参加により結ばれる。,建築基準法に基づく建築協定は、住宅地としての環境や商店街としての利便を高度に維持増進することなどを目的としたもので、原則として、土地所有者等の全員の合意により結ばれる。,都市緑地法に基づく緑地協定は、都市計画区域又は準都市計画区域内の地域の良好な環境を確保するため、緑地の保全及び緑化の推進に関する事項について、土地所有者等の相当部分の参加により結ばれる。,2
