年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和4年,計画,1,,次の記述のうち、最も不適当なものはどれか。,建築士は、他人の求めに応じ報酬を得て、建築物の建築に関する法令に基づく手続きの代理を行う場合、建築士事務所に所属する必要がある。,建築士は、設計契約を結んだ委任者に対し、法律に定められていない内容であっても、建築士として一般的に要求されるだけの注意を尽くす義務がある。,建築基準法は、国民の生命、健康及び財産の保護を図り、公共の福祉の増進に資することを目的として、建築物の敷地、構造、設備及び用途に関する平均的な基準を定めている。,我が国において2050年までのカーボンニュートラルの実現のために、建築物においては、省エネルギー性能の確保や向上への取り組み、また、再生可能エネルギーの導入拡大等が求められている。,3
令和4年,計画,2,,都市計画に関する次の記述のうち、最も不適当なものはどれか。,平安京では、長方形の平面に対し、南北を通る朱雀大路を中心に右京と左京に分かれ、条(東西道路)と坊(南北道路)による格子の街路網をもつ条坊制が敷かれた。,江戸では、16世紀末から17世紀にかけて江戸城を中核とする堀の開削や海岸線の埋め立てが行われ、山の手の尾根筋の土地に大名屋敷を配し、谷筋に町人地を設定するなど、起伏に富んだ地形に対応した開発が行われた。,ドイツのエンデ・ベックマン建築事務所による「帝都復興計画」では、築地・日比谷・霞が関一帯を含む広大な敷地に中央停車場を置き、三角形に構成された大街路や広場を含んだ計画が提案された。,丹下健三研究室による「東京計画1960」では、これまでの求心・放射型の都市構造の閉鎖性に対して、東京湾に造成した人工地盤に向かって都市の中枢機能の拡大を可能とする都市構造が提案された。,3
令和4年,計画,3,,建築物とその形態・構造的特徴との組合せとして、最も不適当なものは、次のうちどれか。,パンテオン(ローマ、不詳、2世紀)／直径約43mのドームは、コンクリートやレンガを用い、上方へいくほどドームの厚さが薄くなっている。,サンタ・マリア・デル・フィオーレ[フィレンツェ大聖堂](フィレンツェ、F.ブルネレスキ、15世紀)／直径約31mの中央の大ドームは、その東西にある2つの半ドームと南北にある4つの巨大なバットレスで支えられている。,ジョン F. ケネディ国際空港 TWAターミナルビル(ニューヨーク、E.サーリネン、1962年)／長さ約105mの屋根は、4本のY字柱脚に支えられた4枚の鉄筋コンクリート造によるシェルで構成されている。,ミレニアムドーム 2000(ロンドン、R.ロジャース、1999年)／直径約365m・最高高さ約50mの膜構造ドームは12本のマストの頂部からケーブルで吊られている。,2
令和4年,計画,4,,特定の用途に供する建築物に関する次の記述のうち、最も不適当なものはどれか。,博物館の計画に当たり、一般収蔵庫のほかに、収蔵品の適正な保護のために低湿収蔵庫と高湿収蔵庫を設け、それぞれに前室としてならし室を設けた。,図書館の計画に当たり、来館者が静かに本を閲覧・検索するためのブラウジングコーナーやレファレンスコーナーを閉架式書庫内に設けた。,小学校の計画に当たり、細菌の繁殖や水はねによる汚染を防止するために、給食室の床を乾燥した状態に保つドライシステムを導入した。,危険物貯蔵庫の計画に当たり、貯蔵物が爆発した際の周囲に対する安全性に考慮し、天井は設けずに軽量な不燃材料で屋根を葺いた。,2
令和4年,計画,5,,木材等に関する次の記述のうち、最も不適当なものはどれか。,屋外に階段やバルコニーを木造で設置する場合、雨がかりが極力生じないような計画とすることや接合部に水分が常時滞留しないように配慮する。,木材は炭素を貯蔵する特性があり、また、製材は鋼材に比べて製造時に使用するエネルギーが少ない材料である。,木材の乾燥収縮率の大小関係は、年輪の半径方向 > 年輪の接線方向 > 繊維方向である。,木材の種類による気乾密度の大小関係は、一般に、チーク > ヒノキ > キリである。,3
令和4年,計画,6,,建築物の環境振動及び光環境に関する次の記述のうち、最も不適当なものはどれか。,高層建築物に限らず、軽量化された建築物やアスペクト比(幅に対する高さの比)の大きい塔状の建築物では、振動の問題が起こりやすい。,建築物内の躯体を伝わる固体伝搬音の対策として、スラブの短辺方向のスパンを小さくし、スラブを厚くすることが有効である。,照明計画において、視対象面の明るさにむらがあると視覚疲労につながるので、作業領域の均斉度が低くならないようにする。,タスク・アンビエント照明において、タスク照明の照度は、一般に、アンビエント照度より低く設定することで、全般照明よりも省エネルギー化が図れる。,4
令和4年,計画,7,,防犯計画等に関する次の記述のうち、最も不適当なものはどれか。,割れ窓理論とは、建築物の窓が割られたまま放置されると、建築物を管理する人がいないと判断され、最終的にはその建築物の全ての窓が割られてしまうという比喩によって、犯罪発生のメカニズムを説明したものである。,ジェイン・ジェイコブズは、著書「アメリカ大都市の死と生」において、頻繁に使われている街路は安全となる傾向にあり、街路には常に住民、通行人、店員などの多数の目を置く必要があるとしている。,CPTED(防犯環境設計)とは、「周囲からの見通しを確保すること」、「コミュニティ形成を促進すること」、「犯罪企図者の接近を妨げること」、「部材や設備等を破壊されにくいものとすること」という手法による犯罪予防策である。,ブルーイット・アイゴー(アメリカ)は、1950年代に建設された低所得者向けの集合住宅群であり、開放的な低層住宅とすることにより、犯罪発生率の大幅な低下を実現した事例である。,4
令和4年,計画,8,,建築物の各部の計画に関する次の記述のうち、最も不適当なものはどれか。,総合病院の改修計画において、一般病床の床面積が内法15m?の2床室を、小児専用の4床室とした。,市民ホールに設ける300席の小ホールの計画において、車椅子使用者用を含めて客席配置の自由度を高めるため、平土間形式とした。,小学校の計画において、低学年の普通教室 (35人)の平面形状は、情報端末や教科書等の教材の使用に配慮した机等のサイズ拡大を考慮し、流し台を含めて9m×9mとした。,ホテルの計画において、車椅子使用者用客室の出入口には、有効幅員が80cmの引戸を採用し、取っ手側に幅45cmの接近できるスペースを設けた。,1
令和4年,計画,9,,高齢者、障害者等の利用に配慮した建築物の計画に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,市庁舎の総合案内所において、ハイカウンターとローカウンターを併設し、視覚障害者誘導用ブロックをローカウンターに向かって敷設した。,病院のサインの計画において、サインプレートを部門ごとに色分けし、色の違いだけに頼った情報伝達となっていないか、サイン案をそれぞれ白黒コピーして判別性を確認した。,コンビニエンスストアにおいて、両側に商品棚のある通路の有効幅を120cmとし、レジ前には150cm×150cmの車椅子の転回スペースを設けた。,大規模量販店において、車椅子使用者用便房(大型ベッド付き)を男女が共用できる位置に設け、それとは別に、男女それぞれの便所内にオストメイト用設備を有する便房と乳幼児用設備を有する便房を分散配置した。,1
令和4年,計画,10,,都市公園に関する次の記述のうち、最も不適当なものはどれか。,防災公園は、地震災害時に復旧・復興拠点や生活物資等の中継基地等となる防災拠点、避難者を収容し保護する避難地等の機能を有するもので、地域防災計画等に位置づけられている。,広域公園は、都市住民全般の休息、観賞、散歩、遊戲、運動等総合的な利用に供することを目的とし、都市規模に応じ1か所当たり面積10~40haを標準としている。,地区公園は、主として徒歩圏内に居住する者の利用に供することを目的とし、誘致距離1kmの範囲内で1か所当たり面積4haを標準としている。,街区公園は、もっぱら街区に居住する者の利用に供することを目的とし、誘致距離250mの範囲内で1か所当たり面積0.25 haを標準としている。,2
令和4年,計画,11,,まちづくりや都市の再生に関する次の記述のうち、最も不適当なものはどれか。,松山市道後温泉本館周辺地区(愛媛県)は、シンボル性・公共性が高い歴史的建築物の周辺を、道路の付け替えを行うことで歩行者のための空間とし、軌道で使われていた手加工の敷石を舗装に再利用することで歴史的建築物と調和した景観づくりが行われた。,最上郡金山町金山地区(山形県)は、町の基幹産業である木材を活用した住宅の表彰制度や、建築物の屋根や外壁に関する景観条例の制定、教育施設等の公共施設の建て替え、歴史的建築物の改修による景観づくりが行われた。,クリチバ (Curitiba、ブラジル)は、バスを優先する幹線道路と、その両側に平行する支線道路等、道路の構造を都市計画的に再編し、連結されたバス車両や、プラットホームのある停留所による交通システムが構築された。,ハイライン (New York、アメリカ)は、建築物の高密化と老朽化に伴いスラム化した市街地において、建築物を減築し、病院を図書館へ改築するなどの文化施設の整備により都市再生が行われた。,4
令和4年,計画,12,,住宅の計画に関する次の記述のうち、最も不適当なものはどれか。,新築の一戸建て住宅において、「住宅の品質確保の促進等に関する法律」に基づく「日本住宅性能表示基準」に規定される「高齢者等配慮対策等級」は、等級5~1で評価している。,新築の一戸建て住宅において、「住宅の品質確保の促進等に関する法律」に基づく「日本住宅性能表示基準」に規定される「高齢者等配慮対策等級」における「特定寝室」とは、高齢者の利用を想定する主たる寝室のことである。,住宅セーフティネット制度とは、民間の空き家・空き室を活用した、住宅確保要配慮者(高齢者、障害者、子育て世帯等)の入居を拒まない賃貸住宅の登録制度のことである。,住宅セーフティネット制度において、規模や構造等について一定の登録基準を満たしていても、シェアハウス(共同居住型賃貸住宅)では登録できない。,4
令和4年,計画,13,,住宅の作品名(設計者、建設年)とその特徴に関する次の記述のうち、最も不適当なものはどれか。,增沢邸[自邸](増沢洵、1952年)は、3間×3間の9坪の平面プランをもつ2階建ての計画であり、3坪の吹抜けに面して設けた南面大開口部の障子を通して、柔らかな光を室内に取り込んだ住宅である。,斎藤助教授の家(清家清、1952年)は、テラス、廊下、居間が連続する開放的な平面に、移動畳等を配置し、場面に応じて空間を設える「舗設」の概念を具現化した住宅である。,ヴィッラ・クゥクゥ (吉阪隆正、1957年)は、コンクリートの特性を生かした形態と彫りの深い開口をもち、外部に対して閉じることにより「閉鎖性」をつくり出したワンルーム形式の住宅である。,正面のない家-H(坂倉準三建築研究所、1962年)は、襖を開くことでワンルームとなる正方形平面に方形屋根を架け、傘の骨のように組まれた木材を内部に現した住宅である。,4
令和4年,計画,14,,用語とその説明との組合せとして、最も不適当なものは、次のうちどれか。,BEMS (Building and Energy Management System)／二重のガラス間にブラインド等の遮光装置を設置し、空調空気を通すことで、ベリメーターゾーンの熱負荷を軽減するシステムのことである,POE (Post Occupancy Evaluation)／建築物が建設され、その施設の使用者が入居してある程度の時間が経過した後、その施設を評価する、入居後評価のことである。,OPAC (Online Public Access Catalog)／電子情報化された蔵書目録であり、利用者が目的の書籍の収蔵場所等をパソコン上で検索できるシステムのことである。,BDS (Book Detection System)／図書館の出入口等に設置し、書籍等の館外への不正な持ち出し等を防ぐための資料管理システムのことである。,1
令和4年,計画,15,,公立小学校・中学校の計画に関する次の記述のうち、最も不適当なものはどれか。,小学校の計画において、職員室とは別に設けた教師コーナーは児童の見守りやすさを重視し、教師コーナーを取り囲むように普通教室を配置した。,小学校の計画において、特別支援学級では、聴覚に過敏性をもつ児童に対応するため、遮音性の高い小規模な空間を設けた。,中学校の計画において、片廊下幅を広くして教室との仕切りをなくしたオープンプラン教室配置とすることから、隣接する教室相互の間に準備室を設け、音の伝搬を抑制した。,中学校の計画において、教室の稼働率を高めるために、普通教科はクラスルームで行い、実験や実習の授業は特別教室で行う教科教室型を採用した。,4
令和4年,計画,16,,高齢者福祉施設、病院及び保育所の火災対策に関する次の記述のうち、最も不適当なものはどれか。,平家建ての特別養護老人ホームにおいて、共同生活室の天井を高くして蓄煙空間とするとともに、採光のためのトップライトを開くようにして、排煙口の役割を果たすように計画した。,介護老人保健施設において、煙の拡散を遅らせるために、防煙垂れ壁を増やし、防煙区画を小さくする計画とした。,病院の病棟階(1層2看護単位)において、防火扉を多く設けると避難の妨げとなるので、階段やエレベーターシャフト等の竪穴区画以外には防火区画を設けない計画とした。,3階に保育室のある保育所において、幼児数人ごとに保育士等が引率して避難することを想定し、屋内避難階段に隣接した位置に付室を設け、待避スペースとした。,3
令和4年,計画,17,,図書館(所在地、建設年)に関する次の記述のうち、最も不適当なものはどれか。,国際子ども図書館(東京都、2002年)は、敷地の余剰容積を他の敷地に移転できる制度を活用して、大正時代に竣工した鉄骨レンガ造の歴史的建造物を再生・利活用している。,まちとしょテラン [小布施町立図書館](長野県、2009年)は、間仕切りを必要最小限に抑えることで大空間を実現させ、三角形平面プランの中央に開架書庫を配置し、3つの辺に沿って緩やかに分けられたスペースがつくられている。,フランス国立図書館(パリ、1995年)は、緑豊かな中庭をもつ口の字型の基壇部と、その四隅に配置されたL字型の高層棟により構成されている。,デンマーク王立図書館(コペンハーゲン、1999年)は、既存の王立図書館(旧館)に対し、道路を挟んだ運河側に黒色のガラス張りの新館が増築され、メインエントランスは新館に設けられている。,1
