年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
R01,計画,1,,建築及び都市の計画に関する次の記述のうち、最も不適当なものはどれか。,ソシオペタルは、複数の人間が集まったときに、異なる方向に身体を向けて他人同士でいようとするような位置関係をいう。,ユニバーサルデザインは、全ての人を対象としたものであり、障がいの有無、年齢や体型の違い、身体機能の差等に関係なく、可能な限り誰もが利用できるデザインをいう。,パッシブデザインは、建築物自体の配置・形状、窓の大きさ等を工夫することにより、建築物内外に生じる熱や空気や光等の流れを制御し、暖房・冷房・照明効果等を積極的に得る手法をいう。,スマートシティは、広義では、都市が抱える諸課題に対して、情報通信技術等を活用しつつ、マネジメント(計画、整備、管理・運営等)が行われ、全体の最適化が図られる持続可能な都市又は地区をいう。,2
R01,計画,2,,神社建築に関する次の記述のうち、最も不適当なものはどれか。,伊勢神宮内宮正殿(三重県)は、柱は全て掘立て柱で、2本の棟持柱をもつ、神明造りの例である。,出雲大社本殿(島根県)は、桁行2間、梁間2間の平面をもち、正面の片方の柱間を入口とした左右非対称の形式をもつ、大社造りの例である。,賀茂別雷神社本殿・権殿(京都府)は、切妻造り、平入りの形式をもち、前面の屋根を延長して向拝を設けた、流造りの例である。,春日大社本殿(奈良県)は、本殿と拝殿との間を石の間でつないだ、権現造りの例である。,2
R01,計画,3,,歴史的な建築物に関する次の記述のうち、最も不適当なものはどれか。,サン・ピエトロ大聖堂(ヴァチカン)は、身廊部と袖廊部がともに三廊式であり、内陣には周歩廊と放射状に並ぶ複数の祭室とをもつゴシック建築である。,アーヘンの宮廷礼拝堂(ドイツ)は、平面が八角形の身廊とそれを囲む十六角形の周歩廊があり、身廊の上部にはドーム状のヴォールトをもつ集中式の建築物である。,サン・カルロ・アッレ・クァットロ・フォンターネ聖堂(イタリア)は、楕円形のドームと、凹凸の湾曲面や曲線が使用されたファサードをもつバロック建築である。,コルドバの大モスク(スペイン)は、紅白縞文様の2段のアーチを伴って林立する柱による内部空間をもち、現在はキリスト教文化とイスラム教文化とが混在している建築物である。,3
R01,計画,4,,建築物の各部に関する次の記述のうち、最も不適当なものはどれか。,特定天井に関する設計ルートのうち、仕様ルートの一つとして、天井面と周囲の壁等との間にクリアランスを設けない「隙間なし天井」がある。,Low-E複層ガラスは、中空層側のガラス面に特殊金属膜をコーティングしたものであり、室内の冷暖房効率を高めることができる。,連窓を層間変位の大きな建築物に設ける場合、地震時の安全性を向上させるために、ガラスがサッシ枠内で回転・移動しても力が加わらないように、枠とガラスとの間にクリアランスを設ける必要がある。,カーテンウォールのオープンジョイント方式の水密性能について、雨水の浸入を防止するためには、等圧空間の容量を、空気取入口に比べて大きくする必要がある。,4
R01,計画,5,,防犯計画等に関する次の記述のうち、最も不適当なものはどれか。,事務所の計画において、公道から敷地内や建築物内、事務室等への動線は、セキュリティレベルの低いほうから高いほうへ連続させることが望ましい。,小学校の計画において、不審者の侵入防止等に配慮して、職員室は運動場や出入口を見渡すことのできる位置に配置することが望ましい。,住宅地の計画において、ラドバーン方式は、心理的効果を考慮した設計によって、犯罪抑止効果を高める手法である。,ゲーテッド・コミュニティは、住宅地をフェンスや壁等で囲い、出入口にゲートを設けて、住民以外の人や車両の出入りを制限した居住地区である。,2
R01,計画,6,,環境に配慮した建築物の計画に関する次の記述のうち、最も不適当なものはどれか。,越屋根は、切妻屋根等の棟の一部に設けられた小屋根又はその下の開口部を含めた部分をいい、当該開口部から自然換気や採光が期待できる。,コンクリート躯体を蓄熱体として利用するためには、「外断熱とすること」、「開口部からの日射を直接コンクリート躯体に当てること」、「コンクリート躯体を直接室内に露出させること」等が有効である。,クールスポットは、外気温度が建築物内の温度以下となる夜間を中心に、外気を室内に導入することによって躯体を冷却する方法であり、冷房開始時の負荷を低減し、省エネルギー化を図ることができる。,アースチューブは、地中に埋設したチューブに空気を送り込み、夏期には冷熱源、冬期には温熱源として利用する方式であり、一般に、外気温度の年較差又は日較差が大きい地域ほど熱交換効果が大きい。,3
R01,計画,7,,建築物の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,地下階に駐車場を設ける大規模店舗において、売場のレイアウトと駐車場の駐車台数の効率を考慮して、柱割りを8.5m×8.5mとした。,高層事務所ビルのエレベーターの計画において、低層用5台と高層用5台とを幅4mの通路を挟んで対面配置とした。,図書館の開架閲覧室における複式(両面使用型) 書架の中央支柱の心々距離については、車椅子使用者同士がすれ違うことができるように、250cmとした。,普通乗用車を駐車させる屋内駐車場の計画において、1台当たりの所要面積をなるべく少なくするため、直角駐車とした。,2
R01,計画,8,,公立小学校・中学校の計画に関する次の記述のうち、最も不適当なものはどれか。,既存の中学校の校舎を小中一貫教育を行う義務教育学校に変更する計画に当たり、階段に、手摺、滑止め等の安全上の措置を講じることにより、蹴上げの高さを変更しなかった。,中学校の計画に当たり、各教科で専用の教室をもち、生徒が時間割に従って教室を移動して授業を受ける総合教室型とした。,普通教室(40人)の広さは、多様な学習形態に対応する机、家具等の配置が可能な面積、形状を考慮し、9m×8mとした。,特別の支援を必要とする児童が通常の学級に在籍する場合を想定し、その児童が落着きを取り戻すことのできる小規模な空間を、普通教室に隣接して設けた。,2
R01,計画,9,,高齢者、障害者等の利用に配慮した建築物の計画に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,公民館の便所において、車椅子使用者用便房における便器洗浄ボタンは、ペーパーホルダーの直上に設置した。,博物館の便所の計画において、乳幼児用おむつ交換台等の乳幼児連れ利用者に配慮した設備は、利用者の分散を図る観点から多機能便房に設けることは避け、男性用及び女性用の便所内にそれぞれ設けた。,ホテルのエレベーターにおいて、エレベーターの籠内の階数ボタン等の点字表示は、ボタンが縦配列であったので、それぞれのボタンの右側に設けた。,庁舎の避難設備・施設の計画において、利用者が安全に救助を待つための一時待避スペースを階段室内に設け、待避した際に助けを求めたり状況を伝えたりするためのインターホンを設置した。,3
R01,計画,10,,都市の再生、まちづくり等に関する次の記述のうち、最も不適当なものはどれか。,インナーシティ問題は、都市の中心とその周辺の市街地における人口の減少と産業の衰退、地域の荒廃等のことである。,ブラウンフィールドは、土壌汚染の存在、あるいはその懸念から、本来、その土地が有する潜在的な価値よりも著しく低い利用あるいは未利用となった土地をいう。,二地域居住は、都市住民が農山漁村等の地域にも同時に生活拠点をもつこと等をいう。,パークアンドライドシステムは、中心市街地をバリアフリー化して車椅子や電動スクーター等を貸し出し、歩行困難者の外出の機会の拡大だけでなく、市街地の活性化を促す仕組みの一つである。,3
