年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和3年,計画,1,,次の用語に関する記述のうち、最も不適当なものはどれか。,SDGsは、誰一人取り残さない、持続可能でよりよい社会の実現を目指す世界共通の17の開発目標からなり、その目標の一つに「持続可能な都市」がある。,QOLは、近年、生活の質的向上を目指そうとする気運の高まりとともに、建築計画においても、医療福祉等の分野で重要性が増している。,ZEBは、資源の有効な利用を確保する観点から、「建設工事に係る資材の再資源化等に関する法律」(建設リサイクル法)によって定められた分別解体及び再資源化等の実施義務の対象となる建築物のことである。,重要伝統的建造物群保存地区における「修景事業」は、伝統的建造物以外の建造物や新築される建造物が歴史的風致と調和するよう、外観を整備するために行う事業のことである。,3
令和3年,計画,2,,海外の都市に関する次の記述のうち、最も不適当なものはどれか。,ミレトス(トルコ、紀元前5世紀頃)は、ヒッポダモスの計画による、城壁内全体に格子状に直交道路網を敷設し、都市の中央部に行政・宗教・商業施設を、その南北に住宅地を配した都市である。,ローマのカンピドリオ広場(イタリア、16世紀)は、ミケランジェロの計画による、台形状の広場とアプローチとしての大階段、三つのパラッツォを対称的に配置することで、軸線を強調した、バロック的な広場計画の初期の事例である。,レッチワース(イギリス、20世紀初頭)は、パトリック・ゲデスの「保存的外科手術」という概念のもと、都市の歴史性を保存しながら再開発が行われた都市である。,チャンディガール(インド、20世紀後半)は、ル・コルビュジエの都市計画理念に基づく、格子状に分割した区域(ユニット)と7段階に機能分けした道路網からなる都市である。,3
令和3年,計画,3,図あり,図に示す日本の歴史的な建築物に関する次の記述のうち、最も不適当なものはどれか。,三重塔の各層に裳階を付け、六つの屋根が交互に出入りする独特の構造を有する建築物である。,貫で軸部を水平方向に固め、挿肘木を重ねて軒の荷重を支える大仏様の建築物である。,主体部の柱と裳階の柱を海老虹梁でつなぎ、組物を柱の上のみならず柱と柱の間にも組んで詰組とする禅宗様の建築物である。,長い束柱を貫で固めた足代によって、急な崖の上に張り出した床を支える懸造の建築物である。,3
令和3年,計画,4,,建築計画に関する次の記述のうち、最も不適当なものはどれか。,小学校の計画に当たり、インクルーシブ教育システム構築のため、障害のある児童と障害のない児童とが、交流及び共同学習できる施設とした。,病院の計画に当たり、医療行為を中断することなく設備更新が行えるように、手術室のある階の上階に設備階(インタースティシャル・スペース)を設けた。,ホテルの一般客室を、車椅子使用者用客室へ改修するに当たり、二つの客室の間仕切り壁を撤去して一室化し、客室内にスロープを設置し、客室全体の床の高さを、トイレ・浴室等の床の高さと合わせた。,図書館の計画に当たり、地上階に開架書庫や地域住民が利用する施設等を配置したので、半地下階に貴重書保存用書庫を設け、年間を通じて自然換気を行うこととした。,4
令和3年,計画,5,,建築物の各部に関する次の記述のうち、最も不適当なものはどれか。,外壁や屋上から離れている居室に設ける光ダクトの設計において、ダクト内の光の反射回数を減らすために、ダクトの曲がりを少なく、断面積を大きくした。,建築物の通風計画において、効果的に室内に外の風を取り込むために、風上開口を風下開口よりも大きくした。,木材の構造材を現し仕上げとするに当たり、燃焼時に木材の表面が炭化し、中心に向けて燃える速度が遅くなるので、木材の部材断面を大きくすることで、耐火性を高めた。,木材を構造材として使用するに当たり、腐朽しにくく、乾燥に伴う収縮や反りが少ない心材を採用した。,2
令和3年,計画,6,,人間のまわりの空間や距離等に関する次の記述のうち、最も不適当なものはどれか。,エドワード・ホールは、人間同士の距離のとり方等の空間の使い方は、それ自体がコミュニケーションとしての機能をもつと考え、距離をコミュニケーションと対応させて四つの距離帯に分類した。,ロバート・ソマーは、テリトリー(なわばり)は個人についてまわり、持ち運びができ、その空間のかたちは必ずしも球形ではなく、前方に比べ横のほうは未知の人が近づいても寛容になれることを示した。,H. メルテンスは、「建築物の高さ」と「視点から建築物までの水平距離」の比によって建築物の見え方の変化を尺度化した。,オスカー・ニューマンは、物理的・象徴的障壁と見通しのよさをもち、住民たちがそこを「自分たちの場所」と感じているような環境をディフェンシブルスペース(まもりやすい空間)と定義した。,2
令和3年,計画,7,,建築物内で発生する音に関する次の記述のうち、最も不適当なものはどれか。,室内の反射音を防ぐために、壁と天井の仕上げに孔あき板を採用し、低音域の吸音率を向上させるために、その仕上げとコンクリート躯体との間に空気層を十分に確保した。,音圧が極端に弱くなることにより、音が聞こえにくくなる場所(デッドスポット)の発生を防ぐために、天井面や壁面を大きな凹曲面で構成した。,オープンプラン型の小学校において、隣接する教室からの音の伝播を防止するため、廊下の天井の仕上げに表面をガラスクロスで覆ったグラスウールを使用した。,隣り合う部屋の間仕切りにおいて、せっこうボードを両面張りとした壁の遮音性能を向上させるため、共通間柱構造から、壁のボードを各面ごとに別々の間柱に取り付ける独立間柱構造に変更した。,2
令和3年,計画,8,,建築物の各部の高さに関する次の記述のうち、最も不適当なものはどれか。,百貨店のトイレ・洗面所の計画において、乳幼児用おむつ交換台の高さを、50cmとした。,庁舎の車椅子使用者用トイレの計画において、ドアを開閉するための押しボタンスイッチの高さを、110cmとした。,ホテルのフロントカウンターの計画において、一般用の高さを100cmとし、車椅子使用者用の高さを70cmとした。,事務所ビルの事務室の計画において、椅子に座ったときの視界を遮るためのパーティションの高さを、120cmとした。,1
令和3年,計画,9,図あり,図は、公共施設が建つ敷地内の主要な経路上の傾斜路を計画した模式図である。「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものは、次のうちどれか。,"転倒防止や休憩、減速ができるように、傾斜路の途中に設置した踊り場の踏幅Aを、1,600 mmとした。","車椅子使用者が自力で上り下りできるように、傾斜路の水平距離Bを、8,000mmとした。","人と車椅子使用者がすれ違えるように、傾斜路の有効幅Cを、1,500mmとした。",白杖等による危険の認知、車椅子のキャスター等の脱輪防止のため、側壁がない傾斜路及び踊り場側端の立ち上がりDを、50mmとした。,2
令和3年,計画,10,,施設を計画・運営する際の官民連携等に関する次の記述のうち、最も不適当なものはどれか。,指定管理者制度とは、文化会館や保育所、公園等の公の施設の管理運営を、ノウハウを有する民間事業者等が行うことで、住民サービスの質の向上を図り、施設設置の目的を効果的に達成するための制度のことである。,街なみ環境整備事業とは、住環境の整備改善を必要とする区域において、地方公共団体及び街づくり協定等を結んだ住民が協力して、美しい景観の形成、良好な居住環境の整備を支援する事業のことである。,TMOとは、商業・業務機能が集積した地区において、「中心市街地活性化基本計画」等をもとに活性化事業等を推進する民間主体の組織のことである。,サウンディング型市場調査とは、地方公共団体等の事業完了後に、住民との意見交換等を通し、事業に対しての様々な意見や改善点を把握する調査のことである。,4
