年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和7年,計画,1,,建築及び都市の計画に関する次の記述のうち、最も不適当なものはどれか。,循環経済(サーキュラーエコノミー)の実現のため、建設リサイクルの高度化、良好なストック形成、インフラの長寿命化のほか、空き家活用、地域交通、二拠点居住等による循環資源に資する地域生活圏の形成などが目指されている。,ウォーカブルシティは、歩いて暮らせる都市づくりを目指すものであり、「まちなかウォーカブル推進事業(国土交通省)」などにより、居心地が良く歩きたくなる空間づくりが推進されている。,アフォーダンス理論では、知覚者が何かの行動をできそうだと感じるよう引き出す、環境が備えている資質をアフォーダンスと呼び、知覚されるアフォーダンスは知覚者の性格や経験、能力、要求等によって異なると説明されている。,フェーズフリーデザインは、障害の有無、年齢や性別、体型、出身、身体や認知機能等の差によらず、できるだけ安全かつ便利に利用しやすいようにあらかじめ配慮されたものであり、公共施設等の整備の理念として広く普及している。,4
令和7年,計画,2,,日本の歴史的な建築物(所在地)に関する次の記述のうち、最も不適当なものはどれか。,日光東照宮社殿(栃木県)は、本殿と拝殿を石の間でつないだ、権現造の例である。,慈照寺東求堂同仁斎(京都府)は、現存最古とされる違い棚と付書院をもつ、数寄屋造の例である。,東大寺二月堂(奈良県)は、斜面の上に張り出した床を束柱で支えた、懸造の例である。,出雲大社本殿(島根県)は、切妻造・妻入で、正面の2つの柱間の片方を入口とした左右非対称の形式をもつ、大社造の例である。,2
令和7年,計画,3,,西洋の歴史的な建築物(所在地)に関する次の記述のうち、最も不適当なものはどれか。,パルテノン神殿(アテネ)は、外周にドリス式の円柱が並び、クリアストーリーと呼ばれる高窓をとおして神室内に光を取り入れた、古代ギリシアの建築物である。,パンテオン(ローマ)は、レンガとコンクリート等を用いて建造された直径約43mのドームが架けられ、その頂部にある天窓をとおして内部空間に光を取り入れる、古代ローマの建築物である。,ハギア・ソフィア大聖堂(イスタンブール)は、ペンデンティヴと呼ばれる技術を用いた巨大なドームが架けられ、キリスト教会堂のバシリカ式と集中式が融合した内部空間をもつ、ビザンチン様式の建築物である。,サン・カルロ・アッレ・クァットロ・フォンターネ聖堂(ローマ)は、凹凸の湾曲面や曲線が使用されたファサードをもち、内部には楕円形平面のドームが架けられた、バロック様式の建築物である。,1
令和7年,計画,4,,建築物の各部に関する次の記述のうち、最も不適当なものはどれか。,特定天井の設計に当たり、天井と壁との間に一定の隙間を設けることにより、天井材の損傷・脱落防止を図る仕様ルートを採用したので、60mm以上の隙間を設けた。,軽量鉄骨下地の遮音壁の設計に当たり、軽量鉄骨の支柱(スタッド)は千鳥配置とし、中空部分にはグラスウールを充填した。,外壁をタイル仕上げとするに当たり、寒冷地で使用することから、I類(磁器質に相当)からIII類(陶器質に相当)に変更した。,外壁をカーテンウォールとするに当たり、部材間の接合部から雨水が浸入することを防ぐため、内外の空気圧を等圧にすることにより重力で排水するオープンジョイントとした。,3
令和7年,計画,5,,既存建築物の活用や資源循環に関する次の記述のうち、最も不適当なものはどれか。,「令和5年住宅・土地統計調査(総務省)」によると、2023年10月1日現在、日本全体では約900万戸の空き家があり、周囲に悪影響を及ぼす前の有効活用や適切な管理等の総合的な強化が必要とされている。,「建設工事に係る資材の再資源化等に関する法律」(建設リサイクル法)によって規定された特定建設資材は、コンクリート、コンクリート及び鉄から成る建設資材、木材、アスファルト・コンクリートである。,「長期優良住宅の普及の促進に関する法律」における長期優良住宅の認定を受けるには、住宅の構造耐力上主要な部分や雨水の浸入を防止する部分、給水又は排水のための設備等について、定期的な点検・補修等に関する計画(維持保全計画)の策定が必要となる。,「減価償却資産の耐用年数等に関する省令」により、減価償却期間の算定に用いる法定耐用年数が定められており、これにより、建築物を居住用途として使用できる期間が規定されている。,4
令和7年,計画,6,,木材に関する次の記述のうち、最も不適当なものはどれか。,ポリウレタン樹脂塗料は、光沢があり、付着性、耐摩耗性、耐水性等に優れ、木床等に用いられる。,オイルステインは、木材に塗膜を形成し、耐久性を向上させることができるので、木材を使用した外壁等に用いられる。,ヤマトシロアリは、湿潤で腐朽した木材を好んで食べるため、被害は地面に近い建築物の下部や水回りに多く発生する。,木材の腐朽は、木材腐朽菌の繁殖条件である酸素・温度・水分・栄養源のうち、いずれか一つでも除去することにより防止することができる。,2
令和7年,計画,7,,事務所ビルの平面計画・配置計画に関する次の記述のうち、最も不適当なものはどれか。,斜線制限の規定を適用せずに天空率を用いることで、基準階の合理化、床面積と地上部分の空地の確保を実現した。,基準階の平面形状は、南北面にコアを配置することで南北面の窓を減らし、東西面に開口部を設けることで、夏期の熱負荷の影響を軽減させた。,一つの階を分割して貸し出すことを想定した場合、両端コアタイプを採用するとレンタブル比が低下するおそれがあったので、共用廊下、エレベーター、避難階段、トイレ等の共用部分を集約したセンターコアタイプとした。,公道から敷地内や建築物内、事務室等への動線は、セキュリティレベルの低いほうから高いほうへと連続させた。,2
令和7年,計画,8,,建築物等の各部の寸法に関する次の記述のうち、最も不適当なものはどれか。,集合住宅において、避難時に使用する共用階段は、階段の段裏から段鼻までの最小寸法を2mとした。,ホテルにおいて、車椅子使用者用客室内の浴室は、浴槽深さを500mmとし、移乗台の高さとエプロン高さを450mmとした。,大規模な路外駐車場において、普通自動車用の一方通行の車路を幅3m、対面通行の車路を幅6mとした。,"庁舎において、受付や窓口のカウンターは、高齢者、障害者等の利用に配慮し、ローカウンターの高さを700mm、ハイカウンターの高さを1,000mmとした。",3
令和7年,計画,9,,便所・洗面所に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」(令和3年3月)に照らして、最も不適当なものはどれか。,乳幼児用おむつ交換台は、壁面と直交する方向の利用を想定した壁取り付け方式を採用したので、引出し寸法(奥行寸法)を500mmとした。,バリアフリートイレは、直径1.8mの内接円、かつ、内法寸法で2m×2mの空間を確保し、オストメイト用の流しや手荷物置き台、車椅子使用者が利用できる洗面台を設置した。,腰掛け便器の便房内の操作部は、視覚障害者が識別しやすいよう、紙巻器の直上に洗浄ボタンを設け、呼出しボタンを洗浄ボタンと同じ高さで腰掛け便器の後方側に200mm離した位置に配置した。,車椅子使用者用便房には、L型手すりと可動手すりを設け、いずれの手すりも水平部は便座の座面から250mmの高さとした。,1
令和7年,計画,10,,都市計画・都市デザインに関する次の記述のうち、最も不適当なものはどれか。,オスマンの「パリ改造」は、中世以来の高密度化した市街地の一部を取り壊して直線的な大通りを通し、幹線道路網や道路沿いの景観を整備することで、パリを近代的な都市につくり変えた。,C.A.ペリーの「近隣住区理論」は、都市と田園の利点をあわせもつ自立した小都市を計画する理論であり、その理論に基づいて、レッチワース(イギリス)などが計画された。,ル・コルビュジエらによりまとめられた「アテネ憲章」は、1933年の近代建築国際会議(CIAM)の議論に基づき、居住・労働・余暇・交通の4つの機能によって都市を捉える考え方を示した。,丹下健三研究室による「東京計画 1960」では、求心・放射型の都市構造の閉鎖性を否定し、都市軸の概念を導入することによって開放的な線形発展を可能にする都市構造を提案した。,2
令和7年,計画,11,,都市計画やまちづくりに関する次の記述のうち、最も不適当なものはどれか。,建築基準法に基づく、いわゆる「総合設計制度」は、一定規模以上の敷地において、一定割合以上の空地を確保する建築計画に対して、その内容を総合的な配慮のもと、市街地環境の向上に資すると思われる場合は、特定行政庁の許可により、容積率等を緩和する制度である。,都市緑地法に基づく「緑化地域」は、良好な都市環境の形成に必要な緑地が不足している市街地等において、一定規模以上の建築物の新築や増築を行う場合に、敷地面積の一定割合以上の緑化が義務付けられる地域である。,都市計画法に基づく「高度利用地区」は、地区の課題や特徴を踏まえ、住民と市町村とが連携しながら、地区の目指すべき将来像を設定し、その実現に向けてまちづくりを進めていく地区である。,文化財保護法に基づく「伝統的建造物群保存地区」は、伝統的建造物群及びそれと一体をなして価値を形成している環境を保存するため、市町村が都市計画や条例で定める地区である。,3
